"","X1","committee_name","contributor_occupation","college"
"9094",9094,"ACTBLUE","ARCHIVIST","HamiltonC"
"9095",9095,"ACTBLUE","EXEC DIRECTOR","CornellU"
"9096",9096,"ACTBLUE","COLLEGE PROFESSOR","SUNYGeneseo"
"9097",9097,"ACTBLUE","PROFESSOR","CornellU"
"9098",9098,"ACTBLUE","TEACHER","CornellU"
"9099",9099,"ACTBLUE","TEACHER, SCIENTIST","CornellU"
"9100",9100,"ACTBLUE","TEACHER","CornellU"
"9101",9101,"ACTBLUE","EDUCATOR","CornellU"
"9102",9102,"ACTBLUE","PROFESSOR",NA
"9103",9103,"ACTBLUE","LIBRARY ASSISTANT","CornellU"
"9104",9104,"ACTBLUE","FUND-RAISER","CornellU"
"9105",9105,"ACTBLUE","PROFESSOR","CornellU"
"9106",9106,"NEW YORK STATE DEMOCRATIC COMMITTEE","EDUCATOR","CornellU"
"9107",9107,"NEW YORK STATE DEMOCRATIC COMMITTEE","PROFESSOR","CornellU"
"9108",9108,"NEW YORK STATE DEMOCRATIC COMMITTEE","EXECUTIVE DIRECTOR","CornellU"
"9109",9109,"NEW YORK STATE DEMOCRATIC COMMITTEE","PROFESSOR","CornellU"
"9110",9110,"NEW YORK STATE DEMOCRATIC COMMITTEE","STUDENT","CornellU"
"9111",9111,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9112",9112,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9113",9113,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9114",9114,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9115",9115,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9116",9116,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9117",9117,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9118",9118,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9119",9119,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9120",9120,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9121",9121,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9122",9122,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9123",9123,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9124",9124,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9125",9125,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
