"","X1","committee_name","contributor_occupation","college"
"8388",8388,"ACTBLUE","PROFESSOR","OhioStateU"
"8389",8389,"ACTBLUE","DIRECTOR, CORP. & FDN. RELATIONS","KenyonC"
"8390",8390,"ACTBLUE","PROFESSOR","OhioStateU"
"8391",8391,"ACTBLUE","EDUCATOR","OhioStateU"
"8392",8392,"ACTBLUE","EDUCATOR","OhioStateU"
"8393",8393,"ACTBLUE","PROFESSOR","OhioStateU"
"8394",8394,"ACTBLUE","PROFESSOR","OhioStateU"
"8395",8395,"ACTBLUE","ADMINISTRATIVE ASSISTANT","OhioStateU"
"8396",8396,"ACTBLUE","ADMINISTRATIVE ASSISTANT","OhioStateU"
"8397",8397,"ACTBLUE","PROFESSOR","OhioStateU"
"8398",8398,"ACTBLUE","FACULTY","OberlinC"
"8399",8399,"ACTBLUE","GRADUATE TEACHING ASSISTANT (PHD CANDI","OhioStateU"
"8400",8400,"ACTBLUE","GRADUATE TEACHING ASSISTANT (PHD CANDI","OhioStateU"
"8401",8401,"ACTBLUE","FACULTY","OberlinC"
"8402",8402,"ACTBLUE","FACULTY","OberlinC"
"8403",8403,"ACTBLUE","SURGEON","OhioStateU"
"8404",8404,"ACTBLUE","UNIVERSITY ADMINISTRATOR","KenyonC"
"8405",8405,"ACTBLUE","PROFESSOR","OberlinC"
"8406",8406,"ACTBLUE","PROGRAM COORDINATOR","OhioStateU"
"8407",8407,"ACTBLUE","PROGRAM COORDINATOR","OhioStateU"
"8408",8408,"ACTBLUE","OMBUDSPERSON","OberlinC"
"8409",8409,"ACTBLUE","OMBUDSPERSON","OberlinC"
"8410",8410,"ACTBLUE","PHYSICIAN","OhioStateU"
"8411",8411,"ACTBLUE","TEACHER","OhioStateU"
"8412",8412,"ACTBLUE","PROFESSOR","OhioStateU"
"8413",8413,"ACTBLUE","DEVELOPMENT OFFICER","OhioStateU"
"8414",8414,"ACTBLUE","DEVELOPMENT OFFICER","OhioStateU"
"8415",8415,"ACTBLUE","PROFESSOR","KenyonC"
"8416",8416,"ACTBLUE","MEDICAL ILLUSTRATOR","OhioStateU"
"8417",8417,"ACTBLUE","EDUCATOR","OhioStateU"
"8418",8418,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8419",8419,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8420",8420,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8421",8421,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8422",8422,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8423",8423,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8424",8424,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8425",8425,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8426",8426,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8427",8427,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8428",8428,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8429",8429,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8430",8430,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8431",8431,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8432",8432,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8433",8433,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8434",8434,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8435",8435,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8436",8436,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8437",8437,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8438",8438,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8439",8439,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8440",8440,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8441",8441,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8442",8442,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8443",8443,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8444",8444,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8445",8445,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8446",8446,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8447",8447,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8448",8448,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8449",8449,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8450",8450,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8451",8451,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8452",8452,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8453",8453,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8454",8454,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8455",8455,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8456",8456,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8457",8457,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8458",8458,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8459",8459,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8460",8460,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8461",8461,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8462",8462,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8463",8463,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8464",8464,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8465",8465,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8466",8466,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8467",8467,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8468",8468,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8469",8469,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8470",8470,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8471",8471,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8472",8472,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8473",8473,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8474",8474,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8475",8475,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8476",8476,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8477",8477,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8478",8478,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8479",8479,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8480",8480,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8481",8481,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8482",8482,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8483",8483,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8484",8484,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8485",8485,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8486",8486,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8487",8487,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8488",8488,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8489",8489,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8490",8490,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8491",8491,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8492",8492,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8493",8493,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8494",8494,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8495",8495,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8496",8496,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
